"","cdactylon","ecurvula","egummiflua","elehm","eplana","etef","hhirta","spyramidalis"
"GFS_2019_00030","0","1","0","0","0","0","0","0"
"GFS_2019_00043","0","1","0","0","0","0","0","0"
"GFS_2020_00079","0","1","0","0","0","0","0","0"
"GFS_2020_00083","0","1","0","0","0","0","0","0"
"GFS_2020_00085","0","1","0","0","0","0","0","0"
"GFS_2020_00111","0","1","0","0","0","0","0","0"
"GFS_2020_00120","0","1","0","0","0","0","0","0"
"GFS_2020_00132","0","1","0","0","0","0","0","0"
"GFS_2020_00196","0","1","0","0","0","0","0","0"
"GFS_2020_00528","0","0","0","0","0","0","1","0"
"GFS_2020_00555","0","0","0","0","0","0","1","0"
"GFS_2020_00562","0","1","0","0","0","0","0","0"
"GFS_2020_00563","0","0","0","0","0","0","1","0"
"GFS_2020_00574","0","0","0","0","0","0","1","0"
"GFS_2020_00576","0","0","0","0","0","0","1","0"
"GFS_2020_00595","0","1","0","0","0","0","0","0"
"GFS_2020_00606","0","1","0","0","0","0","0","0"
"GFS_2020_00626","0","0","0","0","0","0","1","0"
"GFS_2020_00638","0","1","0","0","0","0","0","0"
"GFS_2020_00645","0","0","0","0","0","0","1","0"
"GFS_2020_00702","0","0","0","0","0","0","1","0"
"GFS_2020_00720","0","0","0","0","0","0","1","0"
"GFS_2021_00374","0","1","0","0","0","0","0","0"
"GFS_2021_00751","1","0","0","0","0","0","0","0"
"GFS_2021_00886","1","0","0","0","0","0","0","0"
"GFS_PHI_1096M","0","0","0","0","0","0","0","1"
"GFS_PHI_1189M","0","0","1","0","0","0","0","0"
"GFS_PHI_1190F","0","0","0","0","0","0","0","1"
"GFS_PHI_1419F","0","0","1","0","0","0","0","0"
"GFS_PHI_1436_3","0","0","0","0","0","0","0","1"
"KCP_2020_00037","0","1","0","0","0","0","0","0"
"KCP_2020_00039","0","1","0","0","0","0","0","0"
"KCP_2020_00040","0","0","0","0","1","0","0","0"
"KCP_2020_00041","0","1","0","0","0","0","0","0"
"KCP_2020_00047","0","0","0","0","1","0","0","0"
"KCP_2020_00054","0","0","0","0","1","0","0","0"
"KCP_2020_00056","0","0","0","0","1","0","0","0"
"KCP_2020_00063","0","0","0","0","1","0","0","0"
"KCP_2020_00075","0","0","0","0","0","1","0","0"
"KCP_2020_00076","0","0","0","0","0","1","0","0"
"KCP_2020_00077","0","0","0","0","0","1","0","0"
"KCP_2020_00079","0","0","0","0","0","1","0","0"
"KCP_2020_00085","0","0","1","0","0","0","0","0"
"KCP_2020_00089","0","0","1","0","0","0","0","0"
"KCP_2020_00090","0","0","1","0","0","0","0","0"
"KCP_2020_00096","0","0","0","1","0","0","0","0"
"KCP_2020_00140","0","0","1","0","0","0","0","0"
"KCP_2020_00185","0","0","1","0","0","0","0","0"
"KCP_2020_00186","0","0","1","0","0","0","0","0"
"KCP_2020_00242","0","1","0","0","0","0","0","0"
"LMY_2021_00110","0","1","0","0","0","0","0","0"
"LMY_2021_00125","0","1","0","0","0","0","0","0"
"LMY_2021_00231","0","1","0","0","0","0","0","0"
"LMY_2021_00287","0","1","0","0","0","0","0","0"
"LMY_2021_00289","0","1","0","0","0","0","0","0"
"LMY_2021_00300","0","1","0","0","0","0","0","0"
"SPY_KZN_062","0","0","0","0","0","0","0","1"
"SPY_KZN_071","0","0","0","0","0","0","0","1"
